partite_perse,player_id,nemesis_id,player_name,nemesis_name
2,200516,200516,Patrick Kypson,Patrick Kypson
2,200550,200550,Vladyslav Orlov,Vladyslav Orlov
2,200587,200587,Brandon Holt,Brandon Holt
2,200610,200610,Oliver Crawford,Oliver Crawford
2,200624,200624,Sebastian Korda,Sebastian Korda
2,200624,200624,Sebastian Korda,Sebastian Korda
2,200624,200624,Sebastian Korda,Sebastian Korda
2,200670,200670,J.J. Wolf,J.J. Wolf
2,200670,200670,J.J. Wolf,J.J. Wolf
2,200670,200670,J.J. Wolf,J.J. Wolf
2,200672,200672,Sergey Fomin,Sergey Fomin
2,201212,201212,Francesca Schiavone,Francesca Schiavone
2,201212,201212,Francesca Schiavone,Francesca Schiavone
2,201212,201212,Francesca Schiavone,Francesca Schiavone
2,201290,201290,Daniela Hantuchova,Daniela Hantuchova
2,201329,201329,Vera Zvonareva,Vera Zvonareva
2,201329,201329,Vera Zvonareva,Vera Zvonareva
2,201329,201329,Vera Zvonareva,Vera Zvonareva
2,201329,201329,Vera Zvonareva,Vera Zvonareva
2,201329,201329,Vera Zvonareva,Vera Zvonareva
2,201345,201345,Maria Sharapova,Maria Sharapova
2,201345,201345,Maria Sharapova,Maria Sharapova
2,201345,201345,Maria Sharapova,Maria Sharapova
2,201345,201345,Maria Sharapova,Maria Sharapova
2,201345,201345,Maria Sharapova,Maria Sharapova
2,201347,201347,Jelena Jankovic,Jelena Jankovic
2,201347,201347,Jelena Jankovic,Jelena Jankovic
2,201347,201347,Jelena Jankovic,Jelena Jankovic
2,201347,201347,Jelena Jankovic,Jelena Jankovic
2,201370,201370,Anastasia Rodionova,Anastasia Rodionova
2,201399,201399,Emily Webley Smith,Emily Webley Smith
2,201402,201402,Sesil Karatantcheva,Sesil Karatantcheva
2,201447,201447,Vania King,Vania King
2,201447,201447,Vania King,Vania King
2,201454,201454,Akgul Amanmuradova,Akgul Amanmuradova
2,201466,201466,Kaia Kanepi,Kaia Kanepi
2,201466,201466,Kaia Kanepi,Kaia Kanepi
2,201466,201466,Kaia Kanepi,Kaia Kanepi
2,201466,201466,Kaia Kanepi,Kaia Kanepi
2,201485,201485,Alla Kudryavtseva,Alla Kudryavtseva
2,201486,201486,Aleksandra Wozniak,Aleksandra Wozniak
2,201498,201498,Karin Knapp,Karin Knapp
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201518,201518,Yanina Wickmayer,Yanina Wickmayer
2,201523,201523,Marina Erakovic,Marina Erakovic
2,201523,201523,Marina Erakovic,Marina Erakovic
2,201524,201524,Urszula Radwanska,Urszula Radwanska
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201527,201527,Stefanie Voegele,Stefanie Voegele
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201529,201529,Kristie Ahn,Kristie Ahn
2,201531,201531,Mariana Duque Marino,Mariana Duque Marino
2,201531,201531,Mariana Duque Marino,Mariana Duque Marino
2,201534,201534,Asia Muhammed,Asia Muhammed
2,201534,201534,Asia Muhammed,Asia Muhammed
2,201534,201534,Asia Muhammed,Asia Muhammed
2,201534,201534,Asia Muhammed,Asia Muhammed
2,201554,201554,Vitalia Diatchenko,Vitalia Diatchenko
2,201554,201554,Vitalia Diatchenko,Vitalia Diatchenko
2,201554,201554,Vitalia Diatchenko,Vitalia Diatchenko
2,201554,201554,Vitalia Diatchenko,Vitalia Diatchenko
2,201565,201565,Katarzyna Piter,Katarzyna Piter
