player_id,country_id,name,sex,hand,ht,year_of_birth
221169,ROU,Raluca Maria Tudorache,female,U,,2002
221187,INA,Priska Madelyn Nugroho,female,R,,2003
202181,BRA,Gilbert Soares Klier Junior,male,U,,2000
215696,MAR,Diae El Jardi,female,R,,2000
206793,DOM,Junior Tavarez Pichardo,male,R,,1999
239448,TUR,Baharnaz Apis,female,U,,-1
127218,ECU,Hugo Minda,male,U,,1982
231624,ITA,Anna Paradisi,female,U,,-1
214704,SRB,Jovana Vukovic,female,U,,2000
221260,SRB,Andjela Todorovic,female,U,,2000
222602,FRA,Nina Radovanovic,female,U,,2003
217897,RUS,Anna Davydova,female,U,,1995
105449,USA,Steve Johnson,male,R,188.0,1990
200647,JPN,Sho Shimabukuro,male,U,,1997
209866,USA,Grace Leake,female,L,,1989
105376,GER,Peter Gojowczyk,male,R,185.0,1989
220716,CRO,Oleksandra Oliynykova,female,R,,2001
206209,ITA,Maria Masini,female,R,,1994
221205,EST,Sofiya Chekhlystova,female,R,,2002
202161,NED,Bart Stevens,male,R,,1998
219817,ISR,Mika Misgav,female,U,,1999
104873,KAZ,Aleksandr Nedovyesov,male,R,,1987
223680,GBR,Hannah Rylatt,female,U,,-1
221864,ITA,Federica Sacco,female,R,,2002
221175,SRB,Jovana Babic,female,R,,2001
221966,JPN,Kotoe Kamata,female,U,,-1
211242,CAN,Catherine Leduc,female,U,,1993
206362,AUS,Naiktha Bains,female,R,,1997
139052,ZIM,Muzingaye Dickson Andile Sibanda,male,U,,1997
222694,USA,Yamilet Castillo,female,U,,-1
215188,AUS,Annie Donaldson,female,U,,1995
106382,GBR,Luke Bambridge,male,R,,1995
209950,FRA,Arthur Fils,male,R,185.0,2004
200670,USA,J.J. Wolf,male,R,,1998
239406,ESP,Laura Tapiador,female,U,,-1
221741,MDA,Abigail Rencheli,female,R,,2002
221008,POL,Magdalena Zajda,female,U,,1999
220502,CAN,Ariana Arseneault,female,U,,2002
105217,NED,Thiemo De Bakker,male,R,193.0,1988
106408,ESP,Mario Vilella Martinez,male,R,,1995
209204,FIN,Iiro Vasa,male,U,,-1
214273,RUS,Ksenia Kuznetsova,female,R,,1998
210738,INA,Aldila Sutjiadi,female,R,,1995
221336,EGY,Amira Badawi,female,U,,2001
216137,SRB,Ksenija Tmusic,female,U,,2001
216161,JPN,Kanna Nishida,female,U,,2000
207368,TUR,Mert Alkaya,male,U,,2000
222803,TUR,Ozlem Uslu,female,R,,2004
111451,AUS,Bradley Mousley,male,U,,1996
123749,COL,Barlaham Zuluaga Gaviria,male,R,,1996
220239,IND,Meenal Maharwal,female,R,,-1
126608,FIN,Aaro Pollanen,male,R,,1998
223034,ITA,Grazia Fabbrizi,female,U,,-1
203513,USA,Robin Anderson,female,R,,1993
200276,GER,Niklas Schell,male,R,,1999
222746,ITA,Roberta Lodi Pasini,female,U,,-1
106384,ISR,Or Ram Harel,male,R,,1995
222242,ISR,May Baranes,female,U,,-1
222644,ARG,Sol Faga,female,U,,-1
144750,RSA,Lloyd Harris,male,R,193.0,1997
211008,KOR,Se Hyun Kim,female,U,,1995
206341,ARG,Maria Constanza De Las Mercedes Vega,female,U,,1995
222556,RUS,Aleksandra Evdokimova,female,U,,-1
103720,AUS,Lleyton Hewitt,male,R,180.0,1981
213604,BRA,Luisa Stefani,female,U,,1997
104424,JPN,Go Soeda,male,R,178.0,1984
222654,ARG,Paula Maria Curci Micieli,female,U,,-1
125842,SUI,Adam Moundir,male,R,,1995
221209,RUS,Anastasia Zolotareva,female,U,,2002
222438,IRL,Emma Brennan,female,U,,-1
223129,GRE,Michaela Laki,female,U,,2005
126200,POL,Piotr Grynkowski,male,U,,1992
201593,ROU,Irina Camelia Begu,female,R,181.0,1990
223154,SVK,Laura Beresova,female,U,,-1
233719,CZE,Denise Hrdinkova,female,U,,-1
220354,GBR,Emilie Lindh Gallagher,female,U,,2000
126322,CHN,Zhao Tai Li,male,U,,1994
201620,PUR,Monica Puig,female,R,170.0,1993
219893,JPN,Ari Matsumoto,female,R,,1997
203236,RUS,Angelina Gabueva,female,U,,1988
215439,TUR,Azradeniz Comlek,female,U,,2001
208485,NZL,Kiranpal Pannu,male,R,,1997
209510,GER,Nino Ehrenschneider,male,L,,2001
106273,RUS,Ronald Slobodchikov,male,R,,1993
214461,SLO,Tamara Zidansek,female,R,168.0,1998
222588,UKR,Anastasiia Khriapko,female,U,,-1
216209,POR,Djasmine Garnacho,female,U,,1998
223682,GBR,Hannah Read,female,U,,-1
215226,USA,Anna Ulyashchenko,female,U,,1997
105499,GUA,Christopher Diaz Figueroa,male,R,,1990
219770,AUT,Ema Vasic,female,U,,1999
145018,MEX,Fabian Lara,male,U,,-1
104597,ESP,Nicolas Almagro,male,R,183.0,1985
101339,MEX,Agustin Moreno,male,R,180.0,1967
223180,QAT,Mubaraka Al Naimi,female,U,,2001
214553,CZE,Natalie Novotna,female,U,,1996
215075,GER,Laura Heinrichs,female,U,,1990
222549,KOR,Hyeri Kim,female,U,,-1
221636,ITA,Francesca Falleni,female,U,,1999
208577,NZL,Joanna Carswell,female,R,,1988
216278,SVK,Martina Fricova,female,U,,1998
220851,BOL,Carla Lorena Torrico,female,U,,2002
219798,ESP,Laia Conde Monfort,female,U,,2001
202685,JPN,Misa Eguchi,female,R,,1992
220176,THA,Natcharee Teerachodjiranon,female,U,,2002
203550,USA,Brianna Morgan,female,U,,1994
221712,SWE,Agnes Gustafsson,female,R,,2001
215030,TUR,Zehra Lara Tekbas,female,U,,2000
202536,ROU,Ana Bogdan,female,R,,1992
215726,FRA,Tiphanie Fiquet,female,R,,2000
219580,ECU,Ariana Chan Baratau,female,U,,2000
222950,ESP,Maria Verdu Gonzalez,female,U,,-1
106105,BRA,Guilherme Clezar,male,R,,1993
126567,USA,Trevor Allen Johnson,male,U,,1996
211234,INA,Deria Nur Haliza,female,R,,1997
214934,NOR,Astrid Wanja Brune Olsen,female,U,,1999
200070,RUS,Kirill Kivattsev,male,U,,1997
215213,JPN,Waka Kirihata,female,U,,1994
211887,GBR,Maia Lumsden,female,R,,1998
222730,EGY,Hana Ayman Elsherif,female,U,,-1
127189,TPE,Li Wie Tan,male,U,,1995
220853,USA,Allison Mulville,female,U,,2000
223298,FRA,Jade Psonka,female,U,,-1
206193,ARG,Rocio Macri,female,R,,1995
206272,ITA,Alessandro Procopio,male,U,,1998
220702,EGY,Hala Khaled,female,U,,2001
104249,BRA,Marcelo Melo,male,R,203.0,1983
206021,JPN,Suzuka Furukawa,female,U,,1994
105300,ESP,Sergio Gutierrez Ferrol,male,R,,1989
222025,JPN,Ayano Toyoshi,female,U,,-1
241003,EGY,Joody Elkady,female,U,,-1
204263,AUT,Janina Toljan,female,R,,1990
240169,USA,Cameron Agapito,female,U,,-1
210262,UKR,Anastasia Koroliova,female,U,,1992
123962,ARG,Juan Ignacio Iliev,male,U,,1993
221899,CHN,Yueliang Cao,female,U,,2000
215832,AUS,Gabriella Da Silva Fick,female,R,,2000
211535,FRA,Camille Cheli,female,R,,1993
220529,ROU,Iulia Savescu,female,U,,1997
215755,IND,Mahak Jain,female,R,,2001
202139,USA,Julian Zlobinsky,male,R,,1996
215790,USA,Alexandra Sanford,female,U,,1999
106206,KOR,Jea Moon Lee,male,R,,1993
222779,RUS,Elizaveta Shebekina,female,R,,-1
222102,JPN,Meina Aratake,female,U,,-1
105933,ECU,Roberto Quiroz,male,L,,1992
211361,ITA,Sara Castellano,female,U,,1994
221721,RUS,Elizaveta Kuznetsova,female,U,,2000
222346,FRA,Laia Petretic,female,U,,-1
220775,RUS,Sofia Sharonova,female,U,,2000
215457,ESP,Carlota Molina Megias,female,R,,2000
208736,JPN,Yasunori Hashikawa,male,U,,1998
203561,CAN,Charlotte Petrick,female,R,,1997
222844,COL,Valeria Carreno,female,U,,-1
200648,JPN,Masaya Kobayashi,male,U,,1997
237474,EGY,Nour Adel,female,U,,-1
209108,PER,Gianluca Ballotta,male,U,,-1
132293,SRB,Nenad Vladusic,male,L,,1995
106374,CRO,Filip Veger,male,R,,1994
204246,NED,Lesley Kerkhove,female,R,,1991
220987,BRA,Vitoria De Brito Francisco,female,R,,2002
