id,sex
9280,Male
9284,Male
9288,Male
9295,Male
9298,Male
9299,Male
9300,Male
9319,Male
9328,Male
9330,Male
9334,Male
9338,Male
9339,Male
9350,Male
9353,Male
9354,Male
9357,Male
9359,Male
9360,Male
9363,Male
9373,Male
9379,Male
9380,Male
9382,Male
9391,Male
9395,Male
9402,Male
9409,Male
9415,Male
9421,Male
9425,Male
9443,Male
9458,Male
9460,Male
9463,Male
9465,Male
9467,Male
9473,Male
9475,Male
9477,Male
9485,Male
9489,Male
9490,Male
9494,Male
9502,Male
9504,Male
9509,Male
9512,Male
9513,Male
9515,Male
9517,Male
9525,Male
9527,Male
9533,Male
9541,Male
9552,Male
9563,Male
9566,Male
9574,Male
9575,Male
9583,Male
9586,Male
9591,Male
9596,Male
9603,Male
9606,Male
9624,Male
9635,Male
9637,Male
9643,Male
9644,Male
9645,Male
9649,Male
9650,Male
9653,Male
9669,Male
9678,Male
9681,Male
9689,Male
9703,Male
9724,Male
9725,Male
9737,Male
9743,Male
9751,Male
9756,Male
9757,Male
9766,Male
9767,Male
9768,Male
9773,Male
9774,Male
9776,Male
9782,Male
9783,Male
9787,Male
9798,Male
9807,Male
9808,Male
9813,Male
9830,Male
9835,Male
9851,Male
9853,Male
9860,Male
9868,Male
9872,Male
9874,Male
9880,Male
9883,Male
9885,Male
9888,Male
9889,Male
9895,Male
9897,Male
9900,Male
9901,Male
9902,Male
9905,Male
9911,Male
9912,Male
9913,Male
9918,Male
9923,Male
9926,Male
9927,Male
9929,Male
9934,Male
9935,Male
9937,Male
9948,Male
9958,Male
9959,Male
9960,Male
9961,Male
9967,Male
9972,Male
9973,Male
9974,Male
9981,Male
9984,Male
9987,Male
9988,Male
9990,Male
9991,Male
9999,Male
10000,Male
10001,Male
10008,Male
10021,Male
10024,Male
10025,Male
10027,Male
10033,Male
10040,Male
10047,Male
10059,Male
10066,Male
10073,Male
10080,Male
10086,Male
10091,Male
10092,Male
10095,Male
10100,Male
10107,Male
10112,Male
10119,Male
10126,Male
10128,Male
10131,Male
10132,Male
10137,Male
10142,Male
10152,Male
10157,Male
10161,Male
10169,Male
10177,Male
10186,Male
10187,Male
10192,Male
10196,Male
10199,Male
10207,Male
10208,Male
10209,Male
10214,Male
10215,Male
10216,Male
10218,Male
10223,Male
10228,Male
10234,Male
10236,Male
10238,Male
10239,Male
10246,Male
10250,Male
10256,Male
10257,Male
10264,Male
10265,Male
10271,Male
10273,Male
10277,Male
10283,Male
10284,Male
10286,Male
10287,Male
10288,Male
10295,Male
10296,Male
10298,Male
10300,Male
10302,Male
10305,Male
10307,Male
10313,Male
10325,Male
10338,Male
10339,Male
10343,Male
10357,Male
10360,Male
10364,Male
10374,Male
10375,Male
10379,Male
10385,Male
10386,Male
10389,Male
10394,Male
10395,Male
10409,Male
10412,Male
10420,Male
10435,Male
10441,Male
10443,Male
10448,Male
10450,Male
10454,Male
10457,Male
10458,Male
10459,Male
10462,Male
10465,Male
10467,Male
10474,Male
10477,Male
10480,Male
10488,Male
10493,Male
10498,Male
10499,Male
10502,Male
10508,Male
10521,Male
10524,Male
10528,Male
10537,Male
10540,Male
10543,Male
10545,Male
10548,Male
10550,Male
10554,Male
10558,Male
10565,Male
10574,Male
10576,Male
10578,Male
10580,Male
10590,Male
10593,Male
10598,Male
10605,Male
10606,Male
10616,Male
10625,Male
10630,Male
10631,Male
10640,Male
10649,Male
10652,Male
10657,Male
10658,Male
10661,Male
10663,Male
10668,Male
10670,Male
10671,Male
10685,Male
10687,Male
10691,Male
10692,Male
10693,Male
10696,Male
10698,Male
10710,Male
10714,Male
10719,Male
10722,Male
10729,Male
10731,Male
10740,Male
10750,Male
10769,Male
10770,Male
10773,Male
10793,Male
10796,Male
10800,Male
10803,Male
10814,Male
10825,Male
10829,Male
10836,Male
10838,Male
10843,Male
10846,Male
10849,Male
10853,Male
10868,Male
10869,Male
10871,Male
10872,Male
10886,Male
10890,Male
10905,Male
10907,Male
10909,Male
10918,Male
10923,Male
10933,Male
10937,Male
10939,Male
10940,Male
10942,Male
10950,Male
10952,Male
10962,Male
10967,Male
10969,Male
10974,Male
10984,Male
10986,Male
10988,Male
10989,Male
10990,Male
10993,Male
11006,Male
11013,Male
11015,Male
11020,Male
11034,Male
11038,Male
11039,Male
11040,Male
11042,Male
11047,Male
11059,Male
11076,Male
11079,Male
11081,Male
11082,Male
11085,Male
11086,Male
11088,Male
11099,Male
11102,Male
11116,Male
11120,Male
11133,Male
11134,Male
11135,Male
11138,Male
11140,Male
11146,Male
11147,Male
11159,Male
11165,Male
11175,Male
11176,Male
11178,Male
11181,Male
11182,Male
11190,Male
11194,Male
11196,Male
11201,Male
11205,Male
11206,Male
11208,Male
11227,Male
11232,Male
11233,Male
11234,Male
11235,Male
11236,Male
11241,Male
11242,Male
11243,Male
11246,Male
11248,Male
11249,Male
11261,Male
11262,Male
11274,Male
11275,Male
11284,Male
11291,Male
11292,Male
11303,Male
11311,Male
11313,Male
11316,Male
11320,Male
11321,Male
11322,Male
11323,Male
11340,Male
11351,Male
11352,Male
11356,Male
11362,Male
11366,Male
11374,Male
11375,Male
11379,Male
11390,Male
11391,Male
11401,Male
11403,Male
11404,Male
11405,Male
11409,Male
11417,Male
11430,Male
11431,Male
11436,Male
11439,Male
11451,Male
11461,Male
11462,Male
11464,Male
11470,Male
11475,Male
11495,Male
11509,Male
11511,Male
11526,Male
11536,Male
11540,Male
11543,Male
11553,Male
11564,Male
11565,Male
11566,Male
11578,Male
11588,Male
11589,Male
11606,Male
11613,Male
11617,Male
11620,Male
11622,Male
11632,Male
11640,Male
11643,Male
11661,Male
11663,Male
11665,Male
11668,Male
11669,Male
11677,Male
11685,Male
11695,Male
11703,Male
11715,Male
11716,Male
11718,Male
11724,Male
11726,Male
11727,Male
11728,Male
11741,Male
11743,Male
11747,Male
11749,Male
11752,Male
11756,Male
11757,Male
11758,Male
11759,Male
11763,Male
11770,Male
11774,Male
11783,Male
11801,Male
11804,Male
11811,Male
11823,Male
